EST,Muni_Clean,Riesgo_Espacial
PORTUGUESA,SAN GENARO BOCONOITO,0.8373614738348025
ZULIA,GUAJIRA,0.8363691552266511
ANZOATEGUI,MONAGAS,0.8309016340127416
COJEDES,RICAURTE,0.8281492695457265
COJEDES,LIMA BLANCO,0.8245250559108078
FALCON,BOLIVAR,0.8185350238373027
MIRANDA,CARRIZAL,0.8158244702875165
COJEDES,PAO SAN JUAN BAUTISTA,0.8148522735060648
NUEVA ESPARTA,PENINSULA MACANAO,0.8100866858739082
FALCON,LOS TANQUES,0.8078604573770762
TRUJILLO,LA CEIBA,0.7976320131743209
PORTUGUESA,OSPINO,0.7963078779231658
FALCON,FALCON,0.7962929998388553
ANZOATEGUI,GENERAL SIR ARTHUR MCGREGOR,0.7927694160201363
NUEVA ESPARTA,ANTOLIN DEL CAMPO,0.7900413460013305
BARINAS,ROJAS,0.7865173949078664
ARAGUA,SANTIAGO MARINO,0.7817883691270682
YARACUY,SUCRE,0.7815003260749301
GUARICO,ORTIZ,0.7813870449178982
BOLIVAR,GRAN SABANA,0.7793813355823845
TACHIRA,SAN JUDAS TADEO,0.7785696901226107
CARABOBO,MONTALBAN,0.7768104629253435
GUARICO,SAN JOSE GUARIBE,0.7754712139810631
GUARICO,CAMAGUAN,0.7744779428898252
MONAGAS,CEDENO,0.7740808859695258
NUEVA ESPARTA,GARCIA,0.7689460608877857
CARABOBO,SAN JOAQUIN,0.7681027244257601
YARACUY,ARISTIDES BASTIDAS,0.7680097924301251
NUEVA ESPARTA,TUBORES,0.7629903502969066
PORTUGUESA,SAN RAFAEL ONOTO,0.7610166158057983
SUCRE,MEJIA,0.7592767817104473
SUCRE,BOLIVAR,0.7585160875807622
FALCON,BUCHIVACOA,0.7558531031434205
PORTUGUESA,GUANARITO,0.7549526904007722
SUCRE,CRUZ SALMERON ACOSTA,0.7485057098850157
TACHIRA,LIBERTAD,0.747495137572474
NUEVA ESPARTA,GOMEZ,0.7461352431164445
MONAGAS,PIAR,0.738188693304321
APURE,ROMULO GALLEGOS,0.7364083295404209
FALCON,URUMACO,0.7334866946274332
TRUJILLO,ESCUQUE,0.7309099039401338
TRUJILLO,MIRANDA,0.7296633341503849
MONAGAS,SANTA BARBARA,0.7290690282112956
CARABOBO,SAN DIEGO,0.7235188881130598
TACHIRA,CARDENAS,0.7174482650278259
LARA,SIMON PLANAS,0.7059432861987677
TRUJILLO,SAN RAFAEL CARVAJAL,0.7054412567999874
PORTUGUESA,SANTA ROSALIA,0.7016157358930236
MERIDA,PADRE NOGUERA,0.7003998548769317
FALCON,ACOSTA,0.7000099572622195
SUCRE,BENITEZ,0.6996148131423112
YARACUY,MANUEL MONGE,0.699231620345372
FALCON,CACIQUE MANAURE,0.6942517019912486
YARACUY,VEROES,0.6937525816110646
TACHIRA,PEDRO MARIA URENA,0.6934606663979418
ANZOATEGUI,CAJIGAL,0.6918227312643008
FALCON,PETIT,0.6854278957641368
ANZOATEGUI,GUANIPA,0.6786736987969225
YARACUY,COCOROTE,0.6750029410566871
AMAZONAS,ALTO ORINOCO,0.6739729352572992
AMAZONAS,RIO NEGRO,0.6730083952663745
FALCON,UNION,0.6719217738485479
MONAGAS,URACOA,0.6716849419680418
BARINAS,OBISPOS,0.6678005200470966
COJEDES,ROMULO GALLEGOS,0.6670249452533783
FALCON,DEMOCRACIA,0.6668113406119941
YARACUY,JOSE ANTONIO PAEZ,0.6592340518141092
APURE,MUNOZ,0.6552219606573229
CARABOBO,LOS GUAYOS,0.6519252470474596
TACHIRA,TORBES,0.6510845568801631
ZULIA,SIMON BOLIVAR,0.64668145869894
MONAGAS,AGUASAY,0.6446812457508436
TACHIRA,GUASIMOS,0.6425384397478571
BOLIVAR,PADRE PEDRO CHIEN,0.6413676787426315
ANZOATEGUI,FERNANDO PENALVER,0.6360433830417325
ZULIA,FRANCISCO JAVIER PULGAR,0.6360217890239372
YARACUY,INDEPENDENCIA,0.6213367982444158
LARA,PALAVECINO,0.6180136711764933
ANZOATEGUI,GUANTA,0.6089012062395834
TRUJILLO,MOTATAN,0.6081557118488147
NUEVA ESPARTA,DIAZ,0.6061046848091451
MONAGAS,LIBERTADOR,0.5930141853531098
ARAGUA,FRANCISCO LINARES,0.5919028843695624
TRUJILLO,BOLIVAR,0.585287005847976
FALCON,ZAMORA,0.5499698073871202
GUARICO,SAN GERONIMO GUAYABAL,0.5306522255939303
TRUJILLO,PAMPANITO,0.5227450124452058
BARINAS,ARISMENDI,0.5205938289272811
BARINAS,SOSA,0.517522129948355
DELTA AMACURO,ANTONIO DIAZ,0.5169987620710841
YARACUY,LA TRINIDAD,0.5108838069066901
APURE,BIRUACA,0.507639038507275
APURE,PEDRO CAMEJO,0.49723430485043785
FALCON,COLINA,0.4948312702263993
DELTA AMACURO,CASACOIMA,0.4943328465975071
ARAGUA,OCUMARE LA COSTA ORO,0.48658171273433154
TRUJILLO,JOSE FELIPE MARQUEZ CANIZALEZ,0.479680813102437
FALCON,JACURA,0.44362144429778516
PORTUGUESA,PAPELON,0.4410045700048864
AMAZONAS,ATABAPO,0.43925040775159707
BOLIVAR,ANGOSTURA,0.4260755133365587
AMAZONAS,MAROA,0.40606180740474923
BARINAS,ANDRES ELOY BLANCO,0.358271515077713
AMAZONAS,AUTANA,0.30387158565599054
AMAZONAS,MANAPIARE,0.2703442921510213
BOLIVAR,SUCRE,0.26599351807002164
FALCON,PALMA SOLA,0.2581634261406344
DEPENDENCIAS FEDERALES,DEPENDENCIAS FEDERALES,0.11172233709241552
