GID_2,GID_0,COUNTRY,GID_1,EST,NL_NAME_1,Muni_GADM,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,Muni_Clean,ID_Area,Riesgo_Espacial
VEN.7.3_1,VEN,Venezuela,VEN.7_1,CARABOBO,NA,Diego Ibarra,NA,NA,Municipio,Municipality,NA,NA,DIEGO IBARRA,80,1.2994504565381042
VEN.7.4_1,VEN,Venezuela,VEN.7_1,CARABOBO,NA,Guacara,NA,NA,Municipio,Municipality,NA,NA,GUACARA,81,1.031908707889672
VEN.7.5_1,VEN,Venezuela,VEN.7_1,CARABOBO,NA,Juan José Mora,NA,NA,Municipio,Municipality,NA,NA,JUAN JOSE MORA,82,0.9472302466442971
VEN.7.6_1,VEN,Venezuela,VEN.7_1,CARABOBO,NA,Lago Valencia,NA,NA,Water Body,Water Body,NA,NA,LAGO VALENCIA,83,1.0763554934884185
VEN.7.7_1,VEN,Venezuela,VEN.7_1,CARABOBO,NA,Libertador,NA,NA,Municipio,Municipality,NA,NA,LIBERTADOR,84,1.0035473847515255
VEN.7.8_1,VEN,Venezuela,VEN.7_1,CARABOBO,NA,Los Guayos,NA,NA,Municipio,Municipality,NA,NA,LOS GUAYOS,85,0.6519252470474596
VEN.7.9_1,VEN,Venezuela,VEN.7_1,CARABOBO,NA,Miranda,NA,NA,Municipio,Municipality,NA,NA,MIRANDA,86,0.9599569318596163
VEN.7.10_1,VEN,Venezuela,VEN.7_1,CARABOBO,NA,Montalbán,NA,NA,Municipio,Municipality,NA,NA,MONTALBAN,87,0.7768104629253435
VEN.7.11_1,VEN,Venezuela,VEN.7_1,CARABOBO,NA,Naguanagua,NA,NA,Municipio,Municipality,NA,NA,NAGUANAGUA,88,3.1124266006581522
VEN.7.12_1,VEN,Venezuela,VEN.7_1,CARABOBO,NA,Puerto Cabello,NA,NA,Municipio,Municipality,NA,NA,PUERTO CABELLO,89,2.159675034105946
VEN.7.13_1,VEN,Venezuela,VEN.7_1,CARABOBO,NA,San Diego,NA,NA,Municipio,Municipality,NA,NA,SAN DIEGO,90,0.7235188881130598
VEN.7.14_1,VEN,Venezuela,VEN.7_1,CARABOBO,NA,San Joaquín,NA,NA,Municipio,Municipality,NA,NA,SAN JOAQUIN,91,0.7681027244257601
VEN.7.15_1,VEN,Venezuela,VEN.7_1,CARABOBO,NA,Valencia,NA,NA,Municipio,Municipality,NA,NA,VALENCIA,92,2.0001905133207427
VEN.8.1_1,VEN,Venezuela,VEN.8_1,COJEDES,NA,Anzoátegui,NA,NA,Municipio,Municipality,NA,NA,ANZOATEGUI,93,1.1019724094103271
VEN.8.2_1,VEN,Venezuela,VEN.8_1,COJEDES,NA,Ezequiel Zomora,NA,NA,Municipio,Municipality,NA,NA,EZEQUIEL ZOMORA,94,2.0493436560863736
VEN.8.4_1,VEN,Venezuela,VEN.8_1,COJEDES,NA,Girardot,NA,NA,Municipio,Municipality,NA,NA,GIRARDOT,95,0.9155059566457854
VEN.8.5_1,VEN,Venezuela,VEN.8_1,COJEDES,NA,Lima Blanco,NA,NA,Municipio,Municipality,NA,NA,LIMA BLANCO,96,0.8245250559108078
VEN.8.6_1,VEN,Venezuela,VEN.8_1,COJEDES,NA,Pao de San Juan Bautista,NA,NA,Municipio,Municipality,NA,NA,PAO SAN JUAN BAUTISTA,97,0.8148522735060648
VEN.8.7_1,VEN,Venezuela,VEN.8_1,COJEDES,NA,Ricaurte,NA,NA,Municipio,Municipality,NA,NA,RICAURTE,98,0.8281492695457265
VEN.8.8_1,VEN,Venezuela,VEN.8_1,COJEDES,NA,Romulo Gallegos,NA,NA,Municipio,Municipality,NA,NA,ROMULO GALLEGOS,99,0.6670249452533783
VEN.8.9_1,VEN,Venezuela,VEN.8_1,COJEDES,NA,Tinaco,NA,NA,Municipio,Municipality,NA,NA,TINACO,100,0.9937272479630527
VEN.8.3_1,VEN,Venezuela,VEN.8_1,COJEDES,NA,Falcón,NA,NA,Municipio,Municipality,NA,NA,TINAQUILLO,101,1.1978795886255866
VEN.9.1_1,VEN,Venezuela,VEN.9_1,DELTA AMACURO,NA,Antonio Diaz,NA,NA,Municipio,Municipality,NA,NA,ANTONIO DIAZ,102,0.5169987620710841
VEN.9.2_1,VEN,Venezuela,VEN.9_1,DELTA AMACURO,NA,Casacoima,NA,NA,Municipio,Municipality,NA,NA,CASACOIMA,103,0.4943328465975071
VEN.9.3_1,VEN,Venezuela,VEN.9_1,DELTA AMACURO,NA,Pedernales,NA,NA,Municipio,Municipality,NA,NA,PEDERNALES,104,1.2335233866832815
VEN.9.4_1,VEN,Venezuela,VEN.9_1,DELTA AMACURO,NA,Tucupita,NA,NA,Municipio,Municipality,NA,NA,TUCUPITA,105,1.419635636775067
VEN.10.1_1,VEN,Venezuela,VEN.10_1,DEPENDENCIAS FEDERALES,NA,Dependencias Federales,NA,NA,Islas,Islands,NA,VE.DP.DP,DEPENDENCIAS FEDERALES,106,0.11172233709241552
VEN.11.1_1,VEN,Venezuela,VEN.11_1,DISTRITO CAPITAL,NA,Libertador,NA,NA,Municipio,Municipality,NA,NA,LIBERTADOR,107,2.6964937731386827
VEN.12.1_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Acosta,NA,NA,Municipio,Municipality,NA,NA,ACOSTA,108,0.7000099572622195
VEN.12.2_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Bolívar,NA,NA,Municipio,Municipality,NA,NA,BOLIVAR,109,0.8185350238373027
VEN.12.3_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Buchivacoa,NA,NA,Municipio,Municipality,NA,NA,BUCHIVACOA,110,0.7558531031434205
VEN.12.4_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Cacique Manaure,NA,NA,Municipio,Municipality,NA,NA,CACIQUE MANAURE,111,0.6942517019912486
VEN.12.5_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Carirubana,NA,NA,Municipio,Municipality,NA,NA,CARIRUBANA,112,1.3200186398044575
VEN.12.6_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Colina,NA,NA,Municipio,Municipality,NA,NA,COLINA,113,0.4948312702263993
VEN.12.7_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Dabajuro,NA,NA,Municipio,Municipality,NA,NA,DABAJURO,114,0.8955966727675682
VEN.12.8_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Democracia,NA,NA,Municipio,Municipality,NA,NA,DEMOCRACIA,115,0.6668113406119941
VEN.12.9_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Falcón,NA,NA,Municipio,Municipality,NA,NA,FALCON,116,0.7962929998388553
VEN.12.10_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Federación,NA,NA,Municipio,Municipality,NA,NA,FEDERACION,117,1.0829985016255665
VEN.12.11_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Jacura,NA,NA,Municipio,Municipality,NA,NA,JACURA,118,0.44362144429778516
VEN.12.12_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Los Tanques,NA,NA,Municipio,Municipality,NA,NA,LOS TANQUES,119,0.8078604573770762
VEN.12.13_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Mauroa,NA,NA,Municipio,Municipality,NA,NA,MAUROA,120,1.0026606366381756
VEN.12.14_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Miranda,NA,NA,Municipio,Municipality,NA,NA,MIRANDA,121,1.9745389151337447
VEN.12.15_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Monseñor Iturriza,NA,NA,Municipio,Municipality,NA,NA,MONSENOR ITURRIZA,122,1.0405555687935575
VEN.12.16_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Palma Sola,NA,NA,Municipio,Municipality,NA,NA,PALMA SOLA,123,0.2581634261406344
VEN.12.17_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Petit,NA,NA,Municipio,Municipality,NA,NA,PETIT,124,0.6854278957641368
VEN.12.18_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Píritu,NA,NA,Municipio,Municipality,NA,NA,PIRITU,125,0.9338197128905019
VEN.12.19_1,VEN,Venezuela,VEN.12_1,FALCON,NA,San Francisco,NA,NA,Municipio,Municipality,NA,NA,SAN FRANCISCO,126,0.9909361139125802
VEN.12.20_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Silva,NA,NA,Municipio,Municipality,NA,NA,SILVA,127,1.6356788412817769
VEN.12.21_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Sucre,NA,NA,Municipio,Municipality,NA,NA,SUCRE,128,0.9162537004547006
VEN.12.22_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Tocópero,NA,NA,Municipio,Municipality,NA,NA,TOCOPERO,129,0.997919852375061
VEN.12.23_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Unión,NA,NA,Municipio,Municipality,NA,NA,UNION,130,0.6719217738485479
VEN.12.24_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Urumaco,NA,NA,Municipio,Municipality,NA,NA,URUMACO,131,0.7334866946274332
VEN.12.25_1,VEN,Venezuela,VEN.12_1,FALCON,NA,Zamora,NA,NA,Municipio,Municipality,NA,NA,ZAMORA,132,0.5499698073871202
VEN.13.1_1,VEN,Venezuela,VEN.13_1,GUARICO,NA,Camaguán,NA,NA,Municipio,Municipality,NA,NA,CAMAGUAN,133,0.7744779428898252
VEN.13.2_1,VEN,Venezuela,VEN.13_1,GUARICO,NA,Chaguaramas,NA,NA,Municipio,Municipality,NA,NA,CHAGUARAMAS,134,0.9171983341970629
VEN.13.3_1,VEN,Venezuela,VEN.13_1,GUARICO,NA,El Socorro,NA,NA,Municipio,Municipality,NA,NA,EL SOCORRO,135,0.9247077646608253
VEN.13.7_1,VEN,Venezuela,VEN.13_1,GUARICO,NA,Miranda,NA,NA,Municipio,Municipality,NA,NA,FRANCISCO DE MIRANDA,136,1.375775047900601
VEN.13.10_1,VEN,Venezuela,VEN.13_1,GUARICO,NA,Ribas,NA,NA,Municipio,Municipality,NA,NA,JOSE FELIX RIBAS,137,0.8836647304345538
VEN.13.8_1,VEN,Venezuela,VEN.13_1,GUARICO,NA,Monagas,NA,NA,Municipio,Municipality,NA,NA,JOSE TADEO MONAGAS,138,1.6218314774640783
VEN.13.11_1,VEN,Venezuela,VEN.13_1,GUARICO,NA,Roscio,NA,NA,Municipio,Municipality,NA,NA,JUAN GERMAN ROSCIO,139,2.4059358573046747
VEN.13.6_1,VEN,Venezuela,VEN.13_1,GUARICO,NA,Mellado,NA,NA,Municipio,Municipality,NA,NA,JULIAN MELLADO,140,1.4610779455764795
VEN.13.5_1,VEN,Venezuela,VEN.13_1,GUARICO,NA,Las Mercedes,NA,NA,Municipio,Municipality,NA,NA,LAS MERCEDES,141,0.9228947789915106
VEN.13.4_1,VEN,Venezuela,VEN.13_1,GUARICO,NA,Infante,NA,NA,Municipio,Municipality,NA,NA,LEONARDO INFANTE,142,2.0055532788849755
VEN.13.9_1,VEN,Venezuela,VEN.13_1,GUARICO,NA,Ortíz,NA,NA,Municipio,Municipality,NA,NA,ORTIZ,143,0.7813870449178982
VEN.13.15_1,VEN,Venezuela,VEN.13_1,GUARICO,NA,Zaraza,NA,NA,Municipio,Municipality,NA,NA,PEDRO ZARAZA,144,1.3559878196497324
VEN.13.12_1,VEN,Venezuela,VEN.13_1,GUARICO,NA,San Gerónimo de Guayabal,NA,NA,Municipio,Municipality,NA,NA,SAN GERONIMO GUAYABAL,145,0.5306522255939303
VEN.13.13_1,VEN,Venezuela,VEN.13_1,GUARICO,NA,San José de Guaribe,NA,NA,Municipio,Municipality,NA,NA,SAN JOSE GUARIBE,146,0.7754712139810631
VEN.13.14_1,VEN,Venezuela,VEN.13_1,GUARICO,NA,Santa María de Ipire,NA,NA,Municipio,Municipality,NA,NA,SANTA MARIA IPIRE,147,1.111330567365721
VEN.14.1_1,VEN,Venezuela,VEN.14_1,LARA,NA,Andrés Eloy Blanco,NA,NA,Municipio,Municipality,NA,NA,ANDRES ELOY BLANCO,148,0.8916804607325146
VEN.14.2_1,VEN,Venezuela,VEN.14_1,LARA,NA,Crespo,NA,NA,Municipio,Municipality,NA,NA,CRESPO,149,0.9089646018621945
VEN.14.3_1,VEN,Venezuela,VEN.14_1,LARA,NA,Iribarren,NA,NA,Municipio,Municipality,NA,NA,IRIBARREN,150,2.091597008222616
VEN.14.4_1,VEN,Venezuela,VEN.14_1,LARA,NA,Jiménez,NA,NA,Municipio,Municipality,NA,NA,JIMENEZ,151,0.9665657916488418
VEN.14.5_1,VEN,Venezuela,VEN.14_1,LARA,NA,Morán,NA,NA,Municipio,Municipality,NA,NA,MORAN,152,1.1646049958701723
VEN.14.6_1,VEN,Venezuela,VEN.14_1,LARA,NA,Palavecino,NA,NA,Municipio,Municipality,NA,NA,PALAVECINO,153,0.6180136711764933
VEN.14.7_1,VEN,Venezuela,VEN.14_1,LARA,NA,Simón Planas,NA,NA,Municipio,Municipality,NA,NA,SIMON PLANAS,154,0.7059432861987677
VEN.14.8_1,VEN,Venezuela,VEN.14_1,LARA,NA,Torres,NA,NA,Municipio,Municipality,NA,NA,TORRES,155,1.347838493068023
VEN.14.9_1,VEN,Venezuela,VEN.14_1,LARA,NA,Urdaneta,NA,NA,Municipio,Municipality,NA,NA,URDANETA,156,0.8911347938086237
VEN.15.1_1,VEN,Venezuela,VEN.15_1,MERIDA,NA,Alberto Adriani,NA,NA,Municipio,Municipality,NA,NA,ALBERTO ADRIANI,157,1.4265729000250957
