ano,Clave,ES,EST, Muni , Total , H , M ,,,, Total , H , M ,,,Clave,ES,EST, Muni , Total , H , M ,,,,,,,,
,AR-Municipio Santos Michelena,AR,ARAGUA,Municipio Santos Michelena,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AR-Municipio Sucre,AR,ARAGUA,Municipio Sucre,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AR-Municipio Tovar,AR,ARAGUA,Municipio Tovar,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AR-Municipio Urdaneta,AR,ARAGUA,Municipio Urdaneta,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AR-Municipio Zamora,AR,ARAGUA,Municipio Zamora,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BA-Municipio Alberto Arvelo Torrealba,BA,BARINAS,Municipio Alberto Arvelo Torrealba,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BA-Municipio Andres Eloy Blanco,BA,BARINAS,Municipio Andres Eloy Blanco,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BA-Municipio Antonio José de Sucre,BA,BARINAS,Municipio Antonio José de Sucre,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BA-Municipio Arismendi,BA,BARINAS,Municipio Arismendi,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BA-Municipio Barinas,BA,BARINAS,Municipio Barinas,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BA-Municipio Bolívar,BA,BARINAS,Municipio Bolívar,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BA-Municipio Cruz Paredes,BA,BARINAS,Municipio Cruz Paredes,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BA-Municipio Ezequiel Zamora,BA,BARINAS,Municipio Ezequiel Zamora,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BA-Municipio Obispos,BA,BARINAS,Municipio Obispos,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BA-Municipio Pedraza,BA,BARINAS,Municipio Pedraza,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BA-Municipio Rojas,BA,BARINAS,Municipio Rojas,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BA-Municipio Sosa,BA,BARINAS,Municipio Sosa,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BO-Municipio Caroni,BO,BOLIVAR,Municipio Caroni,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BO-Municipio Cedeño,BO,BOLIVAR,Municipio Cedeño,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BO-Municipio El Callao,BO,BOLIVAR,Municipio El Callao,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BO-Municipio Gran Sabana,BO,BOLIVAR,Municipio Gran Sabana,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BO-Municipio Heres,BO,BOLIVAR,Municipio Heres,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BO-Municipio Padre Pedro Chien,BO,BOLIVAR,Municipio Padre Pedro Chien,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BO-Municipio Piar,BO,BOLIVAR,Municipio Piar,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BO-Municipio Raúl leoni,BO,BOLIVAR,Municipio Raúl leoni,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BO-Municipio Roscio,BO,BOLIVAR,Municipio Roscio,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BO-Municipio Sifontes,BO,BOLIVAR,Municipio Sifontes,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,BO-Municipio Sucre,BO,BOLIVAR,Municipio Sucre,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CA-Municipio Bejuma,CA,CARABOBO,Municipio Bejuma,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CA-Municipio Carlos Arvelo,CA,CARABOBO,Municipio Carlos Arvelo,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CA-Municipio Diego Ibarra,CA,CARABOBO,Municipio Diego Ibarra,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CA-Municipio Guacara,CA,CARABOBO,Municipio Guacara,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CA-Municipio Juan José Mora,CA,CARABOBO,Municipio Juan José Mora,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CA-Municipio Libertador,CA,CARABOBO,Municipio Libertador,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CA-Municipio Los Guayos,CA,CARABOBO,Municipio Los Guayos,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CA-Municipio Miranda,CA,CARABOBO,Municipio Miranda,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
