ano,Clave,ES,EST, Muni , Total , H , M ,,,, Total , H , M ,,,Clave,ES,EST, Muni , Total , H , M ,,,,,,,,
2008,TA-Municipio Francisco de Miranda,TA,TACHIRA, Municipio Francisco de Miranda , 16 , 9 , 7 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TA-Municipio García de Hevia,TA,TACHIRA, Municipio García de Hevia , 247 , 175 , 72 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TA-Municipio Guasimos,TA,TACHIRA, Municipio Guasimos , 85 , 53 , 32 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TA-Municipio Independencia,TA,TACHIRA, Municipio Independencia , 111 , 74 , 37 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TA-Municipio Jáuregui,TA,TACHIRA, Municipio Jáuregui , 220 , 136 , 84 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TA-Municipio José María Vargas,TA,TACHIRA, Municipio José María Vargas , 23 , 16 , 7 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TA-Municipio Junín,TA,TACHIRA, Municipio Junín , 301 , 188 , 113 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TA-Municipio Libertad,TA,TACHIRA, Municipio Libertad , 81 , 46 , 35 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TA-Municipio Libertador,TA,TACHIRA, Municipio Libertador , 107 , 79 , 28 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TA-Municipio Lobatera,TA,TACHIRA, Municipio Lobatera , 43 , 30 , 13 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TA-Municipio Michelena,TA,TACHIRA, Municipio Michelena , 84 , 47 , 37 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TA-Municipio Panamericano,TA,TACHIRA, Municipio Panamericano , 157 , 95 , 62 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TA-Municipio Pedro María Ureña,TA,TACHIRA, Municipio Pedro María Ureña , 104 , 64 , 40 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TA-Municipio Rafael Urdaneta,TA,TACHIRA, Municipio Rafael Urdaneta , 17 , 9 , 8 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TA-Municipio Samuel Darío Maldonado,TA,TACHIRA, Municipio Samuel Darío Maldonado , 47 , 28 , 19 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TA-Municipio San Cristóbal,TA,TACHIRA, Municipio San Cristóbal ," 2,931 "," 1,738 "," 1,193 ",,,,,,,,,,,,,,,,,,,,,,,
2008,TA-Municipio San Judas Tadeo,TA,TACHIRA, Municipio San Judas Tadeo , 21 , 14 , 7 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TA-Municipio Seboruco,TA,TACHIRA, Municipio Seboruco , 28 , 20 , 8 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TA-Municipio Simón Rodríguez,TA,TACHIRA, Municipio Simón Rodríguez , 11 , 9 , 2 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TA-Municipio Sucre,TA,TACHIRA, Municipio Sucre , 39 , 28 , 11 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TA-Municipio Torbes,TA,TACHIRA, Municipio Torbes , 138 , 98 , 40 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TA-Municipio Uribante,TA,TACHIRA, Municipio Uribante , 80 , 47 , 33 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TR-Municipio Andrés Bello,TR,TRUJILLO, Municipio Andrés Bello , 51 , 40 , 11 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TR-Municipio Bocono,TR,TRUJILLO, Municipio Bocono , 409 , 221 , 188 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TR-Municipio Bolívar,TR,TRUJILLO, Municipio Bolívar , 21 , 14 , 7 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TR-Municipio Candelaria,TR,TRUJILLO, Municipio Candelaria , 40 , 22 , 18 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TR-Municipio Carache,TR,TRUJILLO, Municipio Carache , 131 , 78 , 53 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TR-Municipio Escuqué,TR,TRUJILLO, Municipio Escuqué , 41 , 23 , 18 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TR-Municipio José Felipe Márquez Cañizales,TR,TRUJILLO, Municipio José Felipe Márquez Cañizales , 2 , 1 , 1 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TR-Municipio Juan Vicente Campo Elías,TR,TRUJILLO, Municipio Juan Vicente Campo Elías , 21 , 11 , 10 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TR-Municipio La Ceiba,TR,TRUJILLO, Municipio La Ceiba , 50 , 35 , 15 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TR-Municipio Miranda,TR,TRUJILLO, Municipio Miranda , 20 , 12 , 8 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TR-Municipio Monte Carmelo,TR,TRUJILLO, Municipio Monte Carmelo , 46 , 29 , 17 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TR-Municipio Motatán,TR,TRUJILLO, Municipio Motatán , 28 , 20 , 8 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TR-Municipio Pampan,TR,TRUJILLO, Municipio Pampan , 176 , 101 , 75 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TR-Municipio Pampanito,TR,TRUJILLO, Municipio Pampanito , 47 , 27 , 20 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TR-Municipio Rafael Rangel,TR,TRUJILLO, Municipio Rafael Rangel , 57 , 32 , 25 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TR-Municipio San Rafael de Carvajal,TR,TRUJILLO, Municipio San Rafael de Carvajal , 92 , 56 , 36 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TR-Municipio Sucre,TR,TRUJILLO, Municipio Sucre , 103 , 73 , 30 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TR-Municipio Trujillo,TR,TRUJILLO, Municipio Trujillo , 396 , 223 , 173 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TR-Municipio Urdaneta,TR,TRUJILLO, Municipio Urdaneta , 122 , 83 , 39 ,,,,,,,,,,,,,,,,,,,,,,,
2008,TR-Municipio Varela,TR,TRUJILLO, Municipio Varela ," 1,664 ", 989 , 675 ,,,,,,,,,,,,,,,,,,,,,,,
2008,VA-Parroquia Caraballeda,VA,VARGAS, Parroquia Caraballeda , 131 , 88 , 43 ,,,,,,,,,,,,,,,,,,,,,,,
2008,VA-Parroquia Carayaca,VA,VARGAS, Parroquia Carayaca , 127 , 90 , 37 ,,,,,,,,,,,,,,,,,,,,,,,
2008,VA-Parroquia Carlos Soublette,VA,VARGAS, Parroquia Carlos Soublette , 134 , 86 , 48 ,,,,,,,,,,,,,,,,,,,,,,,
2008,VA-Parroquia Caruao,VA,VARGAS, Parroquia Caruao , 21 , 13 , 8 ,,,,,,,,,,,,,,,,,,,,,,,
2008,VA-Parroquia Catia La Mar,VA,VARGAS, Parroquia Catia La Mar , 358 , 255 , 103 ,,,,,,,,,,,,,,,,,,,,,,,
2008,VA-Parroquia El Junko,VA,VARGAS, Parroquia El Junko , 5 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,
2008,VA-Parroquia La Guaira,VA,VARGAS, Parroquia La Guaira , 376 , 237 , 139 ,,,,,,,,,,,,,,,,,,,,,,,
2008,VA-Parroquia Macuto,VA,VARGAS, Parroquia Macuto , 114 , 82 , 32 ,,,,,,,,,,,,,,,,,,,,,,,
2008,VA-Parroquia Maiquetía,VA,VARGAS, Parroquia Maiquetía , 442 , 296 , 146 ,,,,,,,,,,,,,,,,,,,,,,,
2008,VA-Parroquia Naiquatá,VA,VARGAS, Parroquia Naiquatá , 69 , 39 , 30 ,,,,,,,,,,,,,,,,,,,,,,,
2008,VA-Parroquia Raúl Leoni,VA,VARGAS, Parroquia Raúl Leoni , 107 , 73 , 34 ,,,,,,,,,,,,,,,,,,,,,,,
2008,YA-Municipio Arístides Bastidas,YA,YARACUY, Municipio Arístides Bastidas , 64 , 43 , 21 ,,,,,,,,,,,,,,,,,,,,,,,
2008,YA-Municipio Bolívar,YA,YARACUY, Municipio Bolívar , 99 , 62 , 37 ,,,,,,,,,,,,,,,,,,,,,,,
2008,YA-Municipio Bruzual,YA,YARACUY, Municipio Bruzual , 239 , 156 , 83 ,,,,,,,,,,,,,,,,,,,,,,,
2008,YA-Municipio Cocorote,YA,YARACUY, Municipio Cocorote , 99 , 64 , 35 ,,,,,,,,,,,,,,,,,,,,,,,
2008,YA-Municipio Independencia,YA,YARACUY, Municipio Independencia , 133 , 88 , 45 ,,,,,,,,,,,,,,,,,,,,,,,
2008,YA-Municipio José Antonio Páez,YA,YARACUY, Municipio José Antonio Páez , 32 , 16 , 16 ,,,,,,,,,,,,,,,,,,,,,,,
2008,YA-Municipio La Trinidad,YA,YARACUY, Municipio La Trinidad , 31 , 22 , 9 ,,,,,,,,,,,,,,,,,,,,,,,
2008,YA-Municipio Manuel Monge,YA,YARACUY, Municipio Manuel Monge , 30 , 20 , 10 ,,,,,,,,,,,,,,,,,,,,,,,
2008,YA-Municipio Nirgua,YA,YARACUY, Municipio Nirgua , 245 , 166 , 79 ,,,,,,,,,,,,,,,,,,,,,,,
2008,YA-Municipio Peña,YA,YARACUY, Municipio Peña , 328 , 223 , 105 ,,,,,,,,,,,,,,,,,,,,,,,
2008,YA-Municipio San Felipe,YA,YARACUY, Municipio San Felipe ," 1,137 ", 688 , 449 ,,,,,,,,,,,,,,,,,,,,,,,
2008,YA-Municipio Sucre,YA,YARACUY, Municipio Sucre , 44 , 31 , 13 ,,,,,,,,,,,,,,,,,,,,,,,
2008,YA-Municipio Urachiche,YA,YARACUY, Municipio Urachiche , 58 , 34 , 24 ,,,,,,,,,,,,,,,,,,,,,,,
2008,YA-Municipio Veroes,YA,YARACUY, Municipio Veroes , 62 , 45 , 17 ,,,,,,,,,,,,,,,,,,,,,,,
2008,ZU-Municipio Almirante Padilla,ZU,ZULIA, Municipio Almirante Padilla , 44 , 23 , 21 ,,,,,,,,,,,,,,,,,,,,,,,
2008,ZU-Municipio Baralt,ZU,ZULIA, Municipio Baralt , 291 , 181 , 110 ,,,,,,,,,,,,,,,,,,,,,,,
2008,ZU-Municipio Cabimas,ZU,ZULIA, Municipio Cabimas ," 1,470 ", 812 , 658 ,,,,,,,,,,,,,,,,,,,,,,,
2008,ZU-Municipio Catatumbo,ZU,ZULIA, Municipio Catatumbo , 92 , 67 , 25 ,,,,,,,,,,,,,,,,,,,,,,,
2008,ZU-Municipio Colon,ZU,ZULIA, Municipio Colon , 565 , 363 , 202 ,,,,,,,,,,,,,,,,,,,,,,,
2008,ZU-Municipio Francisco Javier Pulgar,ZU,ZULIA, Municipio Francisco Javier Pulgar , 72 , 57 , 15 ,,,,,,,,,,,,,,,,,,,,,,,
2008,ZU-Municipio Jesús Enrique Losada,ZU,ZULIA, Municipio Jesús Enrique Losada , 375 , 252 , 123 ,,,,,,,,,,,,,,,,,,,,,,,
2008,ZU-Municipio Jesús Maria Semprun,ZU,ZULIA, Municipio Jesús Maria Semprun , 76 , 52 , 24 ,,,,,,,,,,,,,,,,,,,,,,,
2008,ZU-Municipio La Cañada de Urdaneta,ZU,ZULIA, Municipio La Cañada de Urdaneta , 408 , 250 , 158 ,,,,,,,,,,,,,,,,,,,,,,,
2008,ZU-Municipio Lagunillas,ZU,ZULIA, Municipio Lagunillas ," 1,174 ", 694 , 480 ,,,,,,,,,,,,,,,,,,,,,,,
2008,ZU-Municipio Machiques de Perija,ZU,ZULIA, Municipio Machiques de Perija , 458 , 294 , 164 ,,,,,,,,,,,,,,,,,,,,,,,
2008,ZU-Municipio Mara,ZU,ZULIA, Municipio Mara , 640 , 402 , 238 ,,,,,,,,,,,,,,,,,,,,,,,
2008,ZU-Municipio Maracaibo,ZU,ZULIA, Municipio Maracaibo ," 9,370 "," 5,556 "," 3,814 ",,,,,,,,,,,,,,,,,,,,,,,
2008,ZU-Municipio Miranda,ZU,ZULIA, Municipio Miranda , 274 , 171 , 103 ,,,,,,,,,,,,,,,,,,,,,,,
2008,ZU-Municipio Páez,ZU,ZULIA, Municipio Páez , 188 , 117 , 71 ,,,,,,,,,,,,,,,,,,,,,,,
2008,ZU-Municipio Rosario de Perija,ZU,ZULIA, Municipio Rosario de Perija , 318 , 204 , 114 ,,,,,,,,,,,,,,,,,,,,,,,
2008,ZU-Municipio San Francisco,ZU,ZULIA, Municipio San Francisco ," 1,525 ", 897 , 628 ,,,,,,,,,,,,,,,,,,,,,,,
2008,ZU-Municipio Santa Rita,ZU,ZULIA, Municipio Santa Rita , 143 , 94 , 49 ,,,,,,,,,,,,,,,,,,,,,,,
2008,ZU-Municipio Simón Bolívar,ZU,ZULIA, Municipio Simón Bolívar , 103 , 74 , 29 ,,,,,,,,,,,,,,,,,,,,,,,
2008,ZU-Municipio Sucre,ZU,ZULIA, Municipio Sucre , 229 , 149 , 80 ,,,,,,,,,,,,,,,,,,,,,,,
2008,ZU-Municipio Valmore Rodríguez,ZU,ZULIA, Municipio Valmore Rodríguez , 173 , 120 , 53 ,,,,,,,,,,,,,,,,,,,,,,,
2008,DE-Parroquia Gran Roque,DE,DEPENDENCIAS FEDERALES, Parroquia Gran Roque , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
2007,VA-Municipio Autónomo Vargas,VA,VARGAS,Municipio Autónomo Vargas,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Municipio Autónomo Libertador,DI,DISTRITO CAPITAL,Municipio Autónomo Libertador,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia Altagracia,DI,DISTRITO CAPITAL, Parroquia Altagracia , 103 , 62 , 41 ,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia Antímano,DI,DISTRITO CAPITAL, Parroquia Antímano , 571 , 377 , 194 ,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia Candelaria,DI,DISTRITO CAPITAL, Parroquia Candelaria , 237 , 132 , 105 ,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia Caricuao,DI,DISTRITO CAPITAL, Parroquia Caricuao , 406 , 240 , 166 ,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia Catedral,DI,DISTRITO CAPITAL, Parroquia Catedral , 25 , 19 , 6 ,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia Coche,DI,DISTRITO CAPITAL, Parroquia Coche , 609 , 428 , 181 ,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia El Junquito,DI,DISTRITO CAPITAL, Parroquia El Junquito , 136 , 92 , 44 ,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia El Paraíso,DI,DISTRITO CAPITAL, Parroquia El Paraíso ," 2,073 "," 1,311 ", 762 ,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia El Recreo,DI,DISTRITO CAPITAL, Parroquia El Recreo , 772 , 422 , 350 ,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia El Valle,DI,DISTRITO CAPITAL, Parroquia El Valle , 353 , 230 , 123 ,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia La Pastora,DI,DISTRITO CAPITAL, Parroquia La Pastora , 547 , 356 , 191 ,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia La Vega,DI,DISTRITO CAPITAL, Parroquia La Vega , 511 , 318 , 193 ,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia Macarao,DI,DISTRITO CAPITAL, Parroquia Macarao , 157 , 109 , 48 ,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia San Agustín,DI,DISTRITO CAPITAL, Parroquia San Agustín , 138 , 109 , 29 ,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia San Bernardino,DI,DISTRITO CAPITAL, Parroquia San Bernardino ," 1,088 ", 584 , 504 ,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia San José,DI,DISTRITO CAPITAL, Parroquia San José ," 1,579 ", 869 , 710 ,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia San Juan,DI,DISTRITO CAPITAL, Parroquia San Juan ," 1,733 "," 1,011 ", 722 ,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia San Pedro,DI,DISTRITO CAPITAL, Parroquia San Pedro ," 2,109 "," 1,213 ", 896 ,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia Santa Rosalía,DI,DISTRITO CAPITAL, Parroquia Santa Rosalía , 519 , 302 , 217 ,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia Santa Teresa,DI,DISTRITO CAPITAL, Parroquia Santa Teresa , 61 , 41 , 20 ,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia Sucre,DI,DISTRITO CAPITAL, Parroquia Sucre ," 1,752 "," 1,184 ", 568 ,,,,,,,,,,,,,,,,,,,,,,,
2007,DI-Parroquia Veintitrés de Enero,DI,DISTRITO CAPITAL, Parroquia Veintitrés de Enero , 289 , 169 , 120 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AM-Municipio Autónomo Alto Orinoco,AM,AMAZONAS, Municipio Autónomo Alto Orinoco , 71 , 40 , 31 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AM-Municipio Autónomo Atabapo,AM,AMAZONAS, Municipio Autónomo Atabapo , 12 , 6 , 6 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AM-Municipio Autónomo Atures,AM,AMAZONAS, Municipio Autónomo Atures , 190 , 112 , 78 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AM-Municipio Autónomo Autana,AM,AMAZONAS, Municipio Autónomo Autana , 16 , 6 , 10 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AM-Municipio Autónomo Manapiare,AM,AMAZONAS, Municipio Autónomo Manapiare , 17 , 8 , 9 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AM-Municipio Autónomo Maroa,AM,AMAZONAS, Municipio Autónomo Maroa , 2 , 1 , 1 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AM-Municipio Autónomo Río Negro,AM,AMAZONAS, Municipio Autónomo Río Negro , 12 , 7 , 5 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AN-Municipio Anaco,AN,ANZOATEGUI, Municipio Anaco , 426 , 287 , 139 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AN-Municipio Aragua,AN,ANZOATEGUI, Municipio Aragua , 110 , 56 , 54 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AN-Municipio Diego Bautista Urbaneja,AN,ANZOATEGUI, Municipio Diego Bautista Urbaneja , 126 , 79 , 47 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AN-Municipio Fernando Peñalver,AN,ANZOATEGUI, Municipio Fernando Peñalver , 75 , 56 , 19 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AN-Municipio Francisco de Miranda,AN,ANZOATEGUI, Municipio Francisco de Miranda , 93 , 64 , 29 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AN-Municipio Francisco del Carmen Carvajal,AN,ANZOATEGUI, Municipio Francisco del Carmen Carvajal , 38 , 29 , 9 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AN-Municipio Guanta,AN,ANZOATEGUI, Municipio Guanta , 59 , 40 , 19 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AN-Municipio Independencia,AN,ANZOATEGUI, Municipio Independencia , 61 , 43 , 18 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AN-Municipio José Gregorio Monagas,AN,ANZOATEGUI, Municipio José Gregorio Monagas , 49 , 25 , 24 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AN-Municipio Juan Antonio Sotillo,AN,ANZOATEGUI, Municipio Juan Antonio Sotillo , 567 , 370 , 197 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AN-Municipio Juan Manuel Cajigal,AN,ANZOATEGUI, Municipio Juan Manuel Cajigal , 23 , 15 , 8 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AN-Municipio Libertad,AN,ANZOATEGUI, Municipio Libertad , 48 , 35 , 13 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AN-Municipio Manuel Ezequiel Bruzual,AN,ANZOATEGUI, Municipio Manuel Ezequiel Bruzual , 73 , 49 , 24 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AN-Municipio Pedro María Freites,AN,ANZOATEGUI, Municipio Pedro María Freites , 201 , 123 , 78 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AN-Municipio Píritu,AN,ANZOATEGUI, Municipio Píritu , 62 , 34 , 28 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AN-Municipio San José de Guanipa,AN,ANZOATEGUI, Municipio San José de Guanipa , 154 , 107 , 47 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AN-Municipio San Juan de Capistrano,AN,ANZOATEGUI, Municipio San Juan de Capistrano , 47 , 32 , 15 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AN-Municipio Santa Ana,AN,ANZOATEGUI, Municipio Santa Ana , 27 , 14 , 13 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AN-Municipio Simón Bolívar,AN,ANZOATEGUI, Municipio Simón Bolívar ," 2,100 "," 1,330 ", 770 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AN-Municipio Simón Rodríguez,AN,ANZOATEGUI, Municipio Simón Rodríguez , 770 , 489 , 281 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AN-Municipio Sir Artur Mc. Gregor,AN,ANZOATEGUI, Municipio Sir Artur Mc. Gregor , 17 , 10 , 7 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AP-Municipio Achaguas,AP,APURE, Municipio Achaguas , 185 , 115 , 70 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AP-Municipio Biruaca,AP,APURE, Municipio Biruaca , 74 , 38 , 36 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AP-Municipio Muños,AP,APURE, Municipio Muños , 55 , 35 , 20 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AP-Municipio Páez,AP,APURE, Municipio Páez , 317 , 237 , 80 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AP-Municipio Pedro Camejo,AP,APURE, Municipio Pedro Camejo , 54 , 40 , 14 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AP-Municipio Rómulo Gallegos,AP,APURE, Municipio Rómulo Gallegos , 63 , 39 , 24 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AP-Municipio San Fernando,AP,APURE, Municipio San Fernando ," 1,010 ", 618 , 392 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-Municipio Bolívar,AR,ARAGUA, Municipio Bolívar , 188 , 126 , 62 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-Municipio Camatagua,AR,ARAGUA, Municipio Camatagua , 67 , 50 , 17 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-Municipio Francisco Linares Alcántara,AR,ARAGUA, Municipio Francisco Linares Alcántara , 185 , 116 , 69 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-Municipio Girardot,AR,ARAGUA, Municipio Girardot ," 3,823 "," 2,243 "," 1,580 ",,,,,,,,,,,,,,,,,,,,,,,
2007,AR-Municipio José Ángel Lamas,AR,ARAGUA, Municipio José Ángel Lamas , 65 , 41 , 24 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-Municipio José Félix Rivas,AR,ARAGUA, Municipio José Félix Rivas , 925 , 589 , 336 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-Municipio José Rafael Revenga,AR,ARAGUA, Municipio José Rafael Revenga , 101 , 72 , 29 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-Municipio Libertador,AR,ARAGUA, Municipio Libertador , 474 , 283 , 191 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-Municipio Mario Briceño Iragorry,AR,ARAGUA, Municipio Mario Briceño Iragorry , 185 , 102 , 83 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-Municipio Ocumare de la Costa,AR,ARAGUA, Municipio Ocumare de la Costa , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-Municipio San Casimiro,AR,ARAGUA, Municipio San Casimiro , 79 , 49 , 30 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-Municipio San Sebastián,AR,ARAGUA, Municipio San Sebastián , 78 , 49 , 29 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-Municipio Santiago Mariño,AR,ARAGUA, Municipio Santiago Mariño , 429 , 297 , 132 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-Municipio Santos Michelena,AR,ARAGUA, Municipio Santos Michelena , 115 , 84 , 31 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-Municipio Sucre,AR,ARAGUA, Municipio Sucre , 426 , 258 , 168 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-Municipio Tovar,AR,ARAGUA, Municipio Tovar , 40 , 27 , 13 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-Municipio Urdaneta,AR,ARAGUA, Municipio Urdaneta , 42 , 30 , 12 ,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-Municipio Zamora,AR,ARAGUA, Municipio Zamora , 511 , 320 , 191 ,,,,,,,,,,,,,,,,,,,,,,,
2007,BA-Municipio Alberto Arvelo Torrealba,BA,BARINAS, Municipio Alberto Arvelo Torrealba , 117 , 80 , 37 ,,,,,,,,,,,,,,,,,,,,,,,
2007,BA-Municipio Andres Eloy Blanco,BA,BARINAS, Municipio Andres Eloy Blanco , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
2007,BA-Municipio Antonio José de Sucre,BA,BARINAS, Municipio Antonio José de Sucre , 244 , 167 , 77 ,,,,,,,,,,,,,,,,,,,,,,,
2007,BA-Municipio Arismendi,BA,BARINAS, Municipio Arismendi , 31 , 24 , 7 ,,,,,,,,,,,,,,,,,,,,,,,
2007,BA-Municipio Barinas,BA,BARINAS, Municipio Barinas ," 1,930 "," 1,285 ", 645 ,,,,,,,,,,,,,,,,,,,,,,,
2007,BA-Municipio Bolívar,BA,BARINAS, Municipio Bolívar , 179 , 130 , 49 ,,,,,,,,,,,,,,,,,,,,,,,
2007,BA-Municipio Cruz Paredes,BA,BARINAS, Municipio Cruz Paredes , 72 , 45 , 27 ,,,,,,,,,,,,,,,,,,,,,,,
2007,BA-Municipio Ezequiel Zamora,BA,BARINAS, Municipio Ezequiel Zamora , 252 , 153 , 99 ,,,,,,,,,,,,,,,,,,,,,,,
2007,BA-Municipio Obispos,BA,BARINAS, Municipio Obispos , 60 , 46 , 14 ,,,,,,,,,,,,,,,,,,,,,,,
2007,BA-Municipio Pedraza,BA,BARINAS, Municipio Pedraza , 171 , 120 , 51 ,,,,,,,,,,,,,,,,,,,,,,,
2007,BA-Municipio Rojas,BA,BARINAS, Municipio Rojas , 90 , 61 , 29 ,,,,,,,,,,,,,,,,,,,,,,,
2007,BA-Municipio Sosa,BA,BARINAS, Municipio Sosa , 36 , 25 , 11 ,,,,,,,,,,,,,,,,,,,,,,,
2007,BO-Municipio Caroni,BO,BOLIVAR, Municipio Caroni ," 3,469 "," 2,270 "," 1,199 ",,,,,,,,,,,,,,,,,,,,,,,
2007,BO-Municipio Cedeño,BO,BOLIVAR, Municipio Cedeño , 187 , 112 , 75 ,,,,,,,,,,,,,,,,,,,,,,,
